Lat,Lon,Title,Lat1,Lon1,Continente,Casos,Muertos
35.000074,104.999927,China,35.000074,104.999927,Asia,80879,3139
36.638392,127.6961188,Corea del sur,36.638392,127.6961188,Asia,7513,54
32.6475314,54.5643516,Irán,32.6475314,54.5643516,Asia,7161,237
36.5748441,139.2394179,Japón,36.5748441,139.2394179,Asia,514,9
1.340863,103.8303918,Singapur,1.340863,103.8303918,Asia,160,0
4.5693754,102.2656823,Malasia,4.5693754,102.2656823,Asia,117,0
26.1551249,50.5344606,Baréin,26.1551249,50.5344606,Asia,109,0
29.2733964,47.4979476,Kuwait,29.2733964,47.4979476,Asia,65,0
33.0955793,44.1749775,Irak,33.0955793,44.1749775,Asia,61,6
14.8971921,100.83273,Tailandia,14.8971921,100.83273,Asia,50,1
24.0002488,53.9994829,Emiratos árabes,24.0002488,53.9994829,Asia,59,0
23.5982979,120.8353631,Taiwan,23.5982979,120.8353631,Asia,45,1
